1,Amazon SWF旨在帮助用户......, 设计图形用户界面交互, 管理用户标识和授权, 存储Web内容, 协调分布式和容错的同步和异步任务。,,,,,,,D,,
2,我可以控制基于MySQL的RDS实例是否以及何时升级到新支持的版本？, 没有, 仅限于VPC, 是,,,,,,,,C,,
3,Amazon Elastic Beanstalk提供什么？, Amazon Web Services上的可扩展存储设备。, Amazon Web Services上的应用程序容器。, 此名称的服务不存在。, 可扩展的EC2实例集群。,,,,,,,B,,
4,判断对错：使用IAM控制对RDS资源的访问时，可以使用的密钥名称区分大小写。例如，aws：CurrentTime不等同于AWS：currenttime。, 真正, 假,,,,,,,,,B,,"http://docs.aws.amazon.com/directconnect/latest/UserGuide/using_iam.html Key names are case-insensitive. For example, aws:CurrentTime is equivalent to AWS:currenttime."
5,在快照完成之前，快照的状态是什么。, 赛跑, 工作的, 进展, 有待,,,,,,,D,,http://docs.aws.amazon.com/AWSEC2/latest/UserGuide/ebs-creating-snapshot.html
6,我们可以同时将EBS卷附加到多个EC2实例吗？, 没有, 是。, 仅EC2优化的EBS卷。, 仅在读取模式下。,,,,,,,A,,
7,对错：默认情况下，为新数据库实例启用自动备份。, 真正, 假,,,,,,,,,A,,
8,AWS Storage Gateway提供什么？, 它允许将本地IT环境与云存储集成。, 与Amazon S3的直接加密连接。, 它是一种备份解决方案，可提供本地云存储。, 它为云中的备份提供加密的SSL端点。,,,,,,,A,,
9,目前仅支持__________存储引擎的Amazon RDS自动备份和数据库快照, InnoDB的, MyISAM数据,,,,,,,,,A,,http://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/CHAP_MySQL.html
10,RDS目前支持多少个关系数据库引擎？, 三：MySQL，Oracle和Microsoft SQL Server。, 只有两个：MySQL和Oracle。, 六：Amazon Aurora，Oracle，Microsoft SQL Server，PostgreSQL，MySQL和MariaDB。, 只有一个：MySQL。,,,,,,,C,,"Amazon RDS provides you six familiar database engines to choose from, including Amazon Aurora, Oracle, Microsoft SQL Server, PostgreSQL, MySQL and MariaDB. https://aws.amazon.com/rds/?nc1=h_ls"
11,填写空白：所有实例元数据请求的基URI是___________, http://254.169.169.254/latest/, http://169.169.254.254/latest/, http://127.0.0.1/latest/, http://169.254.169.254/latest/,,,,,,,D,,http://aws.amazon.com/search?searchQuery=metadata&searchPath=all&x=0&y=0
12,使用命令行工具创建快照时，我应该使用哪个命令？, EC2部署快照, EC2新鲜快照, EC2创建快照, EC2-新快照,,,,,,,C,,http://docs.aws.amazon.com/cli/latest/reference/ec2/create-snapshot.html
13,通常，您希望应用程序在您花费任何时间处理结果之前检查请求是否生成错误。查明是否发生错误的最简单方法是在Amazon RDS API的响应中查找__________节点。, 不正确, 错误, 假,,,,,,,,B,,http://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/APITroubleshooting.html
14,使用Amazon RDS for Oracle可以使用哪两种许可选项？, BYOL和企业许可证, 包含BYOL和许可证, 包含企业许可证和许可证, 包含基于角色的许可证和许可证,,,,,,,B,,https://aws.amazon.com/rds/oracle/
15,Amazon SWF中“域”指的是什么？, 一个安全组，其中只有内部任务可以相互通信, 一种特殊的工人, 相关工作流程的集合, Amazon SWF服务的DNS记录,,,,,,,C,,"Domains provide a way of scoping Amazon SWF resources within your AWS account. All the components of a workflow, such as the workflow type and activity types, must be specified to be in a domain. It is possible to have more than one workflow in a domain; however, workflows in different domains cannot interact with each other. http://docs.aws.amazon.com/amazonswf/latest/developerguide/swf-dev-domain.html"
16,EBS快照发生_____, 异步, 同步, 每周,,,,,,,,A,,"Snapshots occur asynchronously; the point-in-time snapshot is created immediately, but the status of the snapshot is pending until the snapshot is complete (when all of the modified blocks have been transferred to Amazon S3), which can take several hours for large initial snapshots or subsequent snapshots where many blocks have changed. http://docs.aws.amazon.com/AWSEC2/latest/UserGuide/ebs-creating-snapshot.html"
17,禁用自动备份______禁用时间点恢复。, 如果配置为可以, 永不, 将,,,,,,,,C,,
18,在EBS卷可用的剥离选项中，哪一个具有以下缺点：'与RAID 0相比，实例到EBS所需的I / O量是双倍的，因为您正在镜像对一对卷的所有写入，限制你可以条纹多少。 ？, 突袭0, RAID 1 + 0（RAID 10）, 突袭1, 袭击,,,,,,,C,,"http://docs.aws.amazon.com/AWSEC2/latest/WindowsGuide/raid-config.html raid 0 and 1 are the common types. Raid 5 and 6 are not recommended because of the extended stripe. If you encounter this question on the exam I suspect the answer options will be different. Raid 1 Disadvantage Does not provide a write performance improvement; requires more Amazon EC2 to Amazon EBS bandwidth than non-RAID configurations because the data is written to multiple volumes simultaneously. Raid 0 Disadvantage Performance of the stripe is limited to the worst performing volume in the set. Loss of a single volume results in a complete data loss for the array. Raid 5 and 6 notes RAID 5 and RAID 6 are not recommended for Amazon EBS because the parity write operations of these RAID modes consume some of the IOPS available to your volumes. Depending on the configuration of your RAID array, these RAID modes provide 20-30% fewer usable IOPS than a RAID 0 configuration. Increased cost is a factor with these RAID modes as well; when using identical volume sizes and speeds, a 2-volume RAID 0 array can outperform a 4-volume RAID 6 array that costs twice as much."
19,是否支持创建另一个只读副本的只读副本？, 仅限于某些地区, 仅适用于基于MSSQL的RDS, 仅适用于Oracle RDS类型, 没有,,,,,,,B,,
20,Amazon S3可以在失败时上传恢复，还是需要重启？, 从头开始重启, 如果在上传之前标记“失败时恢复”选项，则可以恢复它们。, 恢复失败, 取决于文件大小,,,,,,,C,,
21,以下哪项不能在Amazon EC2中用于控制谁有权访问特定的Amazon EC2实例？, 安全组, IAM系统, SSH密钥, Windows密码,,,,,,,B,,http://blogs.aws.amazon.com/security/post/Tx29HCT3ABL7LP3/Resource-level-Permissions-for-EC2-Controlling- Management-Access-on-Specific-Ins
22,填写空白：_________允许您以不同方式对EC2资源进行分类，例如，按目的，所有者或环境。, 通配符, 指针, 标签, 特殊过滤器,,,,,,,C,,
23,如何更改其他AWS拥有的接口的安全组成员身份，例如Elastic Load Balancing？, 通过使用特定于服务的控制台或API \ CLI命令, 都不是, 使用Amazon EC2 API / CLI, 使用所有这些方法,,,,,,,A,,http://docs.aws.amazon.com/ElasticLoadBalancing/latest/DeveloperGuide/elb-security-groups.html
